參考序列,門檻%,最短區間,段數,中位段長,平均段長
SOXX,3.0,5,31,11.0,16.1
SOXX,3.0,10,10,24.0,49.9
SOXX,3.0,15,6,78.0,83.2
SOXX,4.0,5,29,11.0,17.2
SOXX,4.0,10,8,31.5,62.4
SOXX,4.0,15,6,78.0,83.2
SOXX,5.0,5,25,11.0,20.0
SOXX,5.0,10,10,25.0,49.9
SOXX,5.0,15,8,42.0,62.4
SOXX,6.0,5,21,13.0,23.8
SOXX,6.0,10,10,25.0,49.9
SOXX,6.0,15,8,42.0,62.4
SOXX,7.000000000000001,5,15,23.0,33.3
SOXX,7.000000000000001,10,12,25.0,41.6
SOXX,7.000000000000001,15,10,42.0,49.9
SOXX,8.0,5,15,23.0,33.3
SOXX,8.0,10,12,25.0,41.6
SOXX,8.0,15,10,42.0,49.9
SOXX,10.0,5,13,24.0,38.4
SOXX,10.0,10,12,25.0,41.6
SOXX,10.0,15,10,43.0,49.9
SOXX,12.0,5,11,23.0,45.4
SOXX,12.0,10,10,24.5,49.9
SOXX,12.0,15,8,53.5,62.4
XLK,3.0,5,29,13.0,17.2
XLK,3.0,10,14,25.5,35.6
XLK,3.0,15,10,42.5,49.9
XLK,4.0,5,21,16.0,23.8
XLK,4.0,10,14,25.5,35.6
XLK,4.0,15,10,42.5,49.9
XLK,5.0,5,19,16.0,26.3
XLK,5.0,10,12,33.5,41.6
XLK,5.0,15,10,42.5,49.9
XLK,6.0,5,15,16.0,33.3
XLK,6.0,10,10,42.0,49.9
XLK,6.0,15,8,44.0,62.4
XLK,7.000000000000001,5,12,32.0,41.6
XLK,7.000000000000001,10,10,42.0,49.9
XLK,7.000000000000001,15,8,44.0,62.4
XLK,8.0,5,12,28.0,41.6
XLK,8.0,10,10,38.0,49.9
XLK,8.0,15,8,44.0,62.4
XLK,10.0,5,7,44.0,71.3
XLK,10.0,10,7,44.0,71.3
XLK,10.0,15,7,44.0,71.3
XLK,12.0,5,6,84.5,83.2
XLK,12.0,10,6,84.5,83.2
XLK,12.0,15,6,84.5,83.2
QQQ,3.0,5,23,16.0,21.7
QQQ,3.0,10,13,23.0,38.4
QQQ,3.0,15,9,43.0,55.4
QQQ,4.0,5,18,17.5,27.7
QQQ,4.0,10,13,24.0,38.4
QQQ,4.0,15,11,42.0,45.4
QQQ,5.0,5,16,18.0,31.2
QQQ,5.0,10,12,33.0,41.6
QQQ,5.0,15,10,42.5,49.9
QQQ,6.0,5,12,32.0,41.6
QQQ,6.0,10,10,42.0,49.9
QQQ,6.0,15,8,44.0,62.4
QQQ,7.000000000000001,5,12,32.0,41.6
QQQ,7.000000000000001,10,10,42.0,49.9
QQQ,7.000000000000001,15,8,44.0,62.4
QQQ,8.0,5,6,84.5,83.2
QQQ,8.0,10,6,84.5,83.2
QQQ,8.0,15,6,84.5,83.2
QQQ,10.0,5,6,84.5,83.2
QQQ,10.0,10,6,84.5,83.2
QQQ,10.0,15,6,84.5,83.2
QQQ,12.0,5,4,83.5,124.8
QQQ,12.0,10,4,83.5,124.8
QQQ,12.0,15,4,83.5,124.8
XLE,3.0,5,28,13.5,17.8
XLE,3.0,10,12,20.0,41.6
XLE,3.0,15,6,24.5,83.2
XLE,4.0,5,28,12.5,17.8
XLE,4.0,10,13,20.0,38.4
XLE,4.0,15,7,20.0,71.3
XLE,5.0,5,24,15.0,20.8
XLE,5.0,10,13,21.0,38.4
XLE,5.0,15,9,21.0,55.4
XLE,6.0,5,18,18.0,27.7
XLE,6.0,10,13,18.0,38.4
XLE,6.0,15,9,18.0,55.4
XLE,7.000000000000001,5,12,26.5,41.6
XLE,7.000000000000001,10,11,31.0,45.4
XLE,7.000000000000001,15,7,31.0,71.3
XLE,8.0,5,10,26.5,49.9
XLE,8.0,10,9,31.0,55.4
XLE,8.0,15,7,31.0,71.3
XLE,10.0,5,7,31.0,71.3
XLE,10.0,10,7,31.0,71.3
XLE,10.0,15,5,46.0,99.8
XLE,12.0,5,5,52.0,99.8
XLE,12.0,10,5,52.0,99.8
XLE,12.0,15,5,52.0,99.8
XBI,3.0,5,33,12.0,15.1
XBI,3.0,10,17,22.0,29.4
XBI,3.0,15,11,31.0,45.4
XBI,4.0,5,25,12.0,20.0
XBI,4.0,10,13,30.0,38.4
XBI,4.0,15,9,34.0,55.4
XBI,5.0,5,23,12.0,21.7
XBI,5.0,10,14,23.0,35.6
XBI,5.0,15,8,38.5,62.4
XBI,6.0,5,21,15.0,23.8
XBI,6.0,10,14,23.0,35.6
XBI,6.0,15,10,30.5,49.9
XBI,7.000000000000001,5,15,17.0,33.3
XBI,7.000000000000001,10,10,30.5,49.9
XBI,7.000000000000001,15,8,37.0,62.4
XBI,8.0,5,15,17.0,33.3
XBI,8.0,10,10,30.5,49.9
XBI,8.0,15,8,37.0,62.4
XBI,10.0,5,4,83.5,124.8
XBI,10.0,10,4,83.5,124.8
XBI,10.0,15,4,83.5,124.8
XBI,12.0,5,4,83.5,124.8
XBI,12.0,10,4,83.5,124.8
XBI,12.0,15,4,83.5,124.8
0050.TW,3.0,5,26,12.5,18.6
0050.TW,3.0,10,12,28.0,40.2
0050.TW,3.0,15,10,41.5,48.3
0050.TW,4.0,5,20,16.5,24.1
0050.TW,4.0,10,12,24.5,40.2
0050.TW,4.0,15,8,62.0,60.4
0050.TW,5.0,5,18,16.5,26.8
0050.TW,5.0,10,12,24.5,40.2
0050.TW,5.0,15,8,62.0,60.4
0050.TW,6.0,5,14,20.0,34.5
0050.TW,6.0,10,12,24.5,40.2
0050.TW,6.0,15,8,57.5,60.4
0050.TW,7.000000000000001,5,11,22.0,43.9
0050.TW,7.000000000000001,10,9,55.0,53.7
0050.TW,7.000000000000001,15,8,57.5,60.4
0050.TW,8.0,5,8,57.5,60.4
0050.TW,8.0,10,8,57.5,60.4
0050.TW,8.0,15,8,57.5,60.4
0050.TW,10.0,5,6,61.0,80.5
0050.TW,10.0,10,6,61.0,80.5
0050.TW,10.0,15,6,61.0,80.5
0050.TW,12.0,5,4,80.5,120.8
0050.TW,12.0,10,4,80.5,120.8
0050.TW,12.0,15,4,80.5,120.8
00891.TW,3.0,5,28,13.5,17.2
00891.TW,3.0,10,14,21.5,34.5
00891.TW,3.0,15,8,42.0,60.4
00891.TW,4.0,5,20,16.0,24.1
00891.TW,4.0,10,12,21.5,40.2
00891.TW,4.0,15,8,42.0,60.4
00891.TW,5.0,5,20,16.0,24.1
00891.TW,5.0,10,12,21.5,40.2
00891.TW,5.0,15,8,42.0,60.4
00891.TW,6.0,5,18,17.0,26.8
00891.TW,6.0,10,10,25.5,48.3
00891.TW,6.0,15,8,37.5,60.4
00891.TW,7.000000000000001,5,19,15.0,25.4
00891.TW,7.000000000000001,10,11,25.0,43.9
00891.TW,7.000000000000001,15,8,37.5,60.4
00891.TW,8.0,5,13,26.0,37.2
00891.TW,8.0,10,9,30.0,53.7
00891.TW,8.0,15,8,41.0,60.4
00891.TW,10.0,5,6,56.0,80.5
00891.TW,10.0,10,4,80.5,120.8
00891.TW,10.0,15,4,80.5,120.8
00891.TW,12.0,5,4,80.5,120.8
00891.TW,12.0,10,4,80.5,120.8
00891.TW,12.0,15,4,80.5,120.8
美股半導體籃子,3.0,5,27,13.0,18.5
美股半導體籃子,3.0,10,14,22.0,35.6
美股半導體籃子,3.0,15,10,43.5,49.9
美股半導體籃子,4.0,5,27,13.0,18.5
美股半導體籃子,4.0,10,14,22.0,35.6
美股半導體籃子,4.0,15,10,43.5,49.9
美股半導體籃子,5.0,5,25,13.0,20.0
美股半導體籃子,5.0,10,16,22.0,31.2
美股半導體籃子,5.0,15,10,43.5,49.9
美股半導體籃子,6.0,5,23,13.0,21.7
